267919	436.78
314896	511.79
294155	444.76
311824	459.47
299544	457.67
296080	481.72
313918	474.54
301669	473.52
315649	479.97
302939	478.47
321777	477.33
285883	455.42
315587	487.60
295082	472.67
293621	480.83
291285	440.62
314757	524.13
300686	472.50
303050	508.37
333246	516.80
323454	458.57
310483	590.16
294239	545.44
289883	458.00
296397	463.54
277712	401.21
287156	437.34
325324	532.63
285720	437.36
285922	417.73
303157	494.06
314016	513.6
304348	477.24
321335	508.97
301064	464.89
293339	427.72
381422	640.44
309734	492.18
411628	739.4
420399	757.72
375253	658.54
360528	620.49
345198	592.82
335209	557.35
312361	484.43
401422	663.17
352250	600.4
273928	505.75
348721	458.05
310015	541.46
