2052.820	436.78
2128.459	511.79
2051.163	444.76
2112.820	459.47
2075.381	457.67
2092.351	481.72
2147.665	474.54
2115.873	473.52
2170.601	479.97
2134.192	478.47
2182.685	477.33
2037.682	455.42
2161.364	487.60
2088.535	472.67
2075.624	480.83
2102.376	440.62
2139.915	524.13
2092.736	472.50
2136.778	508.37
2191.949	516.80
2112.168	458.57
2117.163	590.16
2052.511	545.44
2109.280	458.00
2152.719	463.54
2021.481	401.21
2033.423	437.34
2203.305	532.63
2026.937	437.36
2035.339	417.73
2119.506	494.06
2151.204	513.60
2151.447	477.24
2173.748	508.97
2093.648	464.89
2092.695	427.72
2402.934	640.44
2142.015	492.18
2446.383	739.40
2489.537	757.72
2306.827	658.54
2334.307	620.49
2315.270	592.82
2264.619	557.35
2174.452	484.43
2474.868	663.17
2270.962	600.40
2037.055	505.75
2278.234	458.05
2145.773	541.46
