2.84154,4.3678
3.08650,5.1179
2.82681,4.4476
3.05259,4.5947
3.02712,4.5767
3.03153,4.8172
3.15108,4.7454
3.03617,4.7352
3.22694,4.7997
3.06223,4.7847
3.12948,4.7733
2.91215,4.5542
3.19140,4.8760
3.02779,4.7267
3.00323,4.8083
2.94218,4.4062
3.19728,5.2413
2.98384,4.7250
3.18119,5.0837
3.24136,5.1680
3.08226,4.5857
3.11285,5.9016
2.89543,5.4544
3.00442,4.5800
2.92452,4.6354
2.77071,4.0121
2.82786,4.3734
3.25549,5.3263
2.81968,4.3736
2.85587,4.1773
3.00228,4.9406
3.22170,5.136
3.10445,4.7724
3.15290,5.0897
2.95270,4.6489
2.87071,4.2772
3.91037,6.4044
3.14268,4.9218
4.07875,7.394
4.23295,7.5772
3.72064,6.5854
3.64697,6.2049
3.60943,5.9282
3.53444,5.5735
3.18249,4.8443
4.04439,6.6317
3.52843,6.004
2.83980,5.0575
3.54773,4.5805
3.07926,5.4146
